Date,Open,High,Low,Close,Volume,ticker,company
,BAC,BAC,BAC,BAC,BAC,,
2017-11-08,22.618223904047802,22.618223904047802,22.22391566720802,22.475603103637695,83128200,BAC,Bank of America
2017-11-09,22.223918914794922,22.366541336226,21.91350644473771,22.223918914794922,95448600,BAC,Bank of America
2017-11-10,22.307810372368664,22.43365328424903,22.19874534194076,22.240694046020508,61105300,BAC,Bank of America
2017-11-13,22.03095951109232,22.21552904356514,21.930284202356393,22.148412704467773,55902200,BAC,Bank of America
2017-11-14,22.0309548963436,22.10646096203461,21.879942764961584,22.014175415039062,61596800,BAC,Bank of America
2017-11-15,21.804438206671406,22.5930562805305,21.653426064849505,22.475603103637695,98274900,BAC,Bank of America
2017-11-16,22.576274730329732,22.69372789646513,22.433652342802734,22.45043182373047,54565200,BAC,Bank of America
2017-11-17,22.240695554563583,22.425265064495147,22.181968965048068,22.33298110961914,48420700,BAC,Bank of America
2017-11-20,22.433652877807617,22.51754868426769,22.26586286506688,22.433652877807617,46328800,BAC,Bank of America
2017-11-21,22.483992858530776,22.534331309537585,22.391708898710906,22.42526626586914,57749100,BAC,Bank of America
2017-11-22,22.45882838912962,22.567891847944068,22.307816215248188,22.36654281616211,38103200,BAC,Bank of America
2017-11-24,22.41687709065473,22.433656574747793,22.29103416031612,22.30781364440918,14273600,BAC,Bank of America
2017-11-27,22.24908705026314,22.584668731226,22.24069730821661,22.30781364440918,44828600,BAC,Bank of America
2017-11-28,22.332980286339254,23.23905152018486,22.2910315809606,23.18871307373047,99765000,BAC,Bank of America
2017-11-29,23.507522269485573,23.90183059014309,23.35651009556316,23.725650787353516,119728400,BAC,Bank of America
2017-11-30,24.11320896158583,24.19746067477992,23.658241996745335,23.73406982421875,122131900,BAC,Bank of America
2017-12-01,23.801471872411543,24.020529859475317,23.169574389073187,23.675092697143555,137774800,BAC,Bank of America
2017-12-04,24.30698863098007,24.694551624695652,24.281712154738415,24.483919143676758,145661700,BAC,Bank of America
2017-12-05,24.517621710656226,24.68612673538682,24.306989224494227,24.374391555786133,91349800,BAC,Bank of America
2017-12-06,24.20588611588595,24.408093119717762,24.071081446664742,24.13005828857422,74593800,BAC,Bank of America
2017-12-07,24.34069931767109,24.4081016759094,23.90258479262155,24.248022079467773,80706100,BAC,Bank of America
2017-12-08,24.450219514765156,24.509196354097384,24.231161535103773,24.475494384765625,60991300,BAC,Bank of America
2017-12-11,24.45864413599474,24.57659781045823,24.349114346565816,24.382816314697266,54001900,BAC,Bank of America
2017-12-12,24.702978134155273,24.854633783854464,24.357540979617504,24.702978134155273,76017200,BAC,Bank of America
2017-12-13,24.694553425562535,24.80408322359894,24.290139418193686,24.298564910888672,79980600,BAC,Bank of America
2017-12-14,24.483925538804463,24.585029863180928,24.189039666955047,24.205890655517578,60615800,BAC,Bank of America
2017-12-15,24.357549330486084,24.585032883026507,24.21431912410866,24.467079162597656,129859400,BAC,Bank of America
2017-12-18,24.67770427180988,24.854634799019927,24.660853286266516,24.837783813476562,70548600,BAC,Bank of America
2017-12-19,24.938886800286518,24.97258716259182,24.74510529778558,24.81250762939453,67984100,BAC,Bank of America
2017-12-20,25.07369279008839,25.141095125263423,24.812508942159944,24.837783813476562,81271200,BAC,Bank of America
2017-12-21,24.930463172944176,25.259049363243694,24.922037679987973,25.124244689941406,72953200,BAC,Bank of America
2017-12-22,25.259046556610027,25.301174016710082,24.955736878881062,25.174793243408203,54203000,BAC,Bank of America
2017-12-26,25.056839871113386,25.2253464995479,24.922035211165095,25.09054183959961,42371200,BAC,Bank of America
2017-12-27,24.989441198559586,25.048418045043945,24.938889845429927,25.048418045043945,35111800,BAC,Bank of America
2017-12-28,25.048418324975678,25.12424615901686,24.989441477832216,25.10739517211914,37914900,BAC,Bank of America
2017-12-29,25.149523435789852,25.174798309938268,24.871488571166992,24.871488571166992,40672000,BAC,Bank of America
2018-01-02,25.0652673978425,25.191646575927734,24.947313712562742,25.191646575927734,57121600,BAC,Bank of America
